household_id,month,days_in_billing_period,household_size,area_type,has_air_conditioning,num_appliances_in_household,monthly_budget_usd,electricity_rate_per_kwh,appliance_name,num_units,power_rating_watts,is_battery_powered,charge_hours_per_cycle,charges_per_month,max_usage_hours_per_day,avg_hours_used_per_day,total_monthly_hours,kwh_per_hour,monthly_kwh_consumption,appliance_monthly_cost_usd,appliance_priority,household_total_kwh,household_total_cost_usd,budget_remaining_usd,budget_exceeded,cost_share_pct,optimal_hours_per_day,optimal_monthly_cost_usd,whatif_add_appliance_new_total_cost,whatif_increase_usage_10pct_new_cost,whatif_budget_increase_20pct
1,1,31,6,urban,1,7,146.26,0.1351,Refrigerator,1,150,0,,,24.0,24.0,744.0,0.15,111.6,15.0772,1,406.798,54.9585,91.3015,0,27.43,24.0,15.0772,73.805,60.4544,175.51
1,1,31,6,urban,1,7,146.26,0.1351,Phone Charger,1,10,1,1.5,30.0,1.45,1.45,45.0,0.01,0.45,0.0608,2,406.798,54.9585,91.3015,0,0.11,1.45,0.0607,73.805,60.4544,175.51
1,1,31,6,urban,1,7,146.26,0.1351,LED Lighting,1,60,0,,,5.3,4.3,133.3,0.06,7.998,1.0805,1,406.798,54.9585,91.3015,0,1.97,4.3,1.0805,73.805,60.4544,175.51
1,1,31,6,urban,1,7,146.26,0.1351,Dishwasher,1,1200,0,,,1.2,0.5,15.5,1.2,18.6,2.5129,3,406.798,54.9585,91.3015,0,4.57,0.5,2.5129,73.805,60.4544,175.51
1,1,31,6,urban,1,7,146.26,0.1351,Space Heater,1,1500,0,,,5.5,3.7,114.7,1.5,172.05,23.244,2,406.798,54.9585,91.3015,0,42.29,3.7,23.244,73.805,60.4544,175.51
1,1,31,6,urban,1,7,146.26,0.1351,Air Conditioner,1,1500,0,,,1.2,1.0,31.0,1.5,46.5,6.2821,2,406.798,54.9585,91.3015,0,11.43,1.0,6.2821,73.805,60.4544,175.51
1,1,31,6,urban,1,7,146.26,0.1351,Coffee Maker,1,800,0,,,6.7,2.0,62.0,0.8,49.6,6.701,3,406.798,54.9585,91.3015,0,12.19,2.0,6.701,73.805,60.4544,175.51
2,5,28,2,rural,0,7,125.36,0.1158,Refrigerator,1,150,0,,,24.0,24.0,672.0,0.15,100.8,11.6726,1,515.37,59.6798,65.6802,0,19.56,24.0,11.6726,74.2706,65.6478,150.43
2,5,28,2,rural,0,7,125.36,0.1158,Phone Charger,1,10,1,1.5,30.0,1.61,1.61,45.0,0.01,0.45,0.0521,2,515.37,59.6798,65.6802,0,0.09,1.61,0.0522,74.2706,65.6478,150.43
2,5,28,2,rural,0,7,125.36,0.1158,LED Lighting,2,120,0,,,7.6,7.0,392.0,0.12,23.52,2.7236,1,515.37,59.6798,65.6802,0,4.56,7.0,2.7236,74.2706,65.6478,150.43
2,5,28,2,rural,0,7,125.36,0.1158,Dishwasher,1,1200,0,,,6.1,4.1,114.8,1.2,137.76,15.9526,3,515.37,59.6798,65.6802,0,26.73,4.1,15.9526,74.2706,65.6478,150.43
2,5,28,2,rural,0,7,125.36,0.1158,Vacuum Cleaner,1,1400,0,,,7.8,4.4,123.2,1.4,172.48,19.9732,3,515.37,59.6798,65.6802,0,33.47,4.4,19.9732,74.2706,65.6478,150.43
2,5,28,2,rural,0,7,125.36,0.1158,Washing Machine,1,500,0,,,4.9,4.3,120.4,0.5,60.2,6.9712,2,515.37,59.6798,65.6802,0,11.68,4.3,6.9712,74.2706,65.6478,150.43
2,5,28,2,rural,0,7,125.36,0.1158,Television,1,150,0,,,5.3,4.8,134.4,0.15,20.16,2.3345,3,515.37,59.6798,65.6802,0,3.91,4.8,2.3345,74.2706,65.6478,150.43
3,12,28,5,urban,1,10,66.04,0.1328,Refrigerator,1,150,0,,,24.0,24.0,672.0,0.15,100.8,13.3862,1,507.68,67.4199,-1.3799,1,19.85,23.51,13.1129,84.1527,74.1619,79.25
3,12,28,5,urban,1,10,66.04,0.1328,Phone Charger,1,10,1,1.5,30.0,1.61,1.61,45.0,0.01,0.45,0.0598,2,507.68,67.4199,-1.3799,1,0.09,1.61,0.0599,84.1527,74.1619,79.25
3,12,28,5,urban,1,10,66.04,0.1328,LED Lighting,3,180,0,,,9.0,6.0,504.0,0.18,30.24,4.0159,1,507.68,67.4199,-1.3799,1,5.96,5.88,3.9356,84.1527,74.1619,79.25
3,12,28,5,urban,1,10,66.04,0.1328,Dishwasher,1,1200,0,,,3.5,2.7,75.6,1.2,90.72,12.0476,3,507.68,67.4199,-1.3799,1,17.87,2.7,12.0476,84.1527,74.1619,79.25
3,12,28,5,urban,1,10,66.04,0.1328,Ceiling Fan,3,225,0,,,7.6,5.7,478.8,0.225,35.91,4.7688,2,507.68,67.4199,-1.3799,1,7.07,5.7,4.7688,84.1527,74.1619,79.25
3,12,28,5,urban,1,10,66.04,0.1328,Space Heater,1,1500,0,,,5.3,2.2,61.6,1.5,92.4,12.2707,2,507.68,67.4199,-1.3799,1,18.2,2.2,12.2707,84.1527,74.1619,79.25
3,12,28,5,urban,1,10,66.04,0.1328,Washing Machine,1,500,0,,,6.1,2.5,70.0,0.5,35.0,4.648,2,507.68,67.4199,-1.3799,1,6.89,2.5,4.648,84.1527,74.1619,79.25
3,12,28,5,urban,1,10,66.04,0.1328,Laptop,1,65,1,2.0,20.0,1.43,1.43,40.0,0.065,2.6,0.3453,2,507.68,67.4199,-1.3799,1,0.51,1.43,0.3456,84.1527,74.1619,79.25
3,12,28,5,urban,1,10,66.04,0.1328,Microwave,1,1000,0,,,3.7,3.7,103.6,1.0,103.6,13.7581,2,507.68,67.4199,-1.3799,1,20.41,3.7,13.7581,84.1527,74.1619,79.25
3,12,28,5,urban,1,10,66.04,0.1328,Gaming Console,1,150,0,,,5.5,3.8,106.4,0.15,15.96,2.1195,3,507.68,67.4199,-1.3799,1,3.14,3.8,2.1195,84.1527,74.1619,79.25
